Title,Author,Year,Pages,Status,Rating,Notes
The Mythical Man-Month,Frederick P. Brooks Jr.,1975,322,Read,5,"Adding people to a late project makes it later. Still true."
Thinking in Systems,Donella Meadows,2008,240,Read,5,Leverage points. Where to push on a system that pushes back.
The Design of Everyday Things,Don Norman,1988,368,Read,4,"Affordances and signifiers; why a door needs no label if it is shaped right."
Peopleware,Tom DeMarco,1987,272,Reading,4,Productivity is an environment problem before it is a people problem.
An Elegant Puzzle,Will Larson,2019,278,Reading,3,Systems thinking applied to engineering management.
Accelerate,"Forsgren, Humble, Kim",2018,288,To read,,"Four key metrics. Worth reading before arguing about velocity."
The Pragmatic Programmer,"Hunt, Thomas",1999,352,Read,4,Tracer bullets and broken windows.
Shape Up,Ryan Singer,2019,152,Read,4,"Appetite over estimate; six weeks and a hard stop."
Crucial Conversations,"Patterson, Grenny",2002,288,To read,,Handling the conversation you keep avoiding.
Working in Public,Nadia Eghbal,2020,264,Read,5,"Maintainer attention is the scarce resource, not code."
